OBJECTID,globalid,nhfr_uid,nhfr_facility_code,country,iso,state,lga,lga_name_disagreement,ward,ward_name_disagreement,facility_name,facility_name_source,ownership,ownership_type,facility_level,facility_level_option,latitude,longitude,geocoordinates_source,last_updated,x,y
35134,948bed0f-1a14-4c66-ac94-b03917d57d12,,,Nigeria,NGA,Oyo,Ibadan South West,0,Oke Ado / Liberty,0,Conac Optical Nig Ltd Clinic,GRID3_EHEALTH,Unknown,Unknown,Tertiary,General Hospital,7.365905762,3.878479004,GRID3_EHEALTH,2024-11-11,3.87847900400004,7.36590576200007
35253,1c0bb24e-518d-45d7-ab53-922f1da5497c,,,Nigeria,NGA,Imo,Mbaitoli,0,Ogbaku,0,Uchechukwu and Eye Hospital Specialist,GRID3_EHEALTH,Unknown,Unknown,Tertiary,General Hospital,5.565124512,6.971923828,GRID3_EHEALTH,2024-11-11,6.97192382800006,5.56512451200007
35272,b08fda53-4117-4aae-8f0d-1bea9297fe7a,,,Nigeria,NGA,Imo,Orlu,0,Orlu Town,0,Niger Optical Service,GRID3_EHEALTH,Unknown,Unknown,Tertiary,General Hospital,5.797485352,7.037109375,GRID3_EHEALTH,2024-11-11,7.03710937500006,5.79748535200002
35276,9fe1385e-4557-4c2e-805d-880ae018faeb,,,Nigeria,NGA,Imo,Ideato North,0,Uzii / Umualoma,0,Niger Optical Service,GRID3_EHEALTH,Unknown,Unknown,Tertiary,General Hospital,5.911071778,7.111328125,GRID3_EHEALTH,2024-11-11,7.11132812500006,5.91107177800006
35290,fac1188d-6ae4-47fc-8c03-e968d536b2eb,,,Nigeria,NGA,Imo,Ehime-Mbano,0,Umueze 1,0,Umuiihim Federal Medical Center,GRID3_EHEALTH,Unknown,Unknown,Secondary,Unknown,5.661682129,7.235900879,GRID3_EHEALTH,2024-11-11,7.23590087900004,5.66168212900004
35426,a9095d81-a78d-4a51-8619-e6aa364a3f3e,,,Nigeria,NGA,Delta,Warri South,0,Bowen,0,Moss Specialist Clinic,GRID3_EHEALTH,Unknown,Unknown,Tertiary,General Hospital,5.511901855,5.750488281,GRID3_EHEALTH,2024-11-11,5.75048828100006,5.51190185500008
35462,afa5d837-d8a8-462a-bf4b-a9b5c3994d29,,,Nigeria,NGA,Delta,Warri South,0,Ekurede,0,Dental Clinic,GRID3_EHEALTH,Unknown,Unknown,Tertiary,General Hospital,5.533325195,5.717529297,GRID3_EHEALTH,2024-11-11,5.71752929700006,5.53332519500003
35473,13ea421d-9240-47f5-8a32-01c8a5c83bf7,,,Nigeria,NGA,Lagos,Mushin,0,Idi Araba,0,St Claire Specialist Clinic,GRID3_EHEALTH,Unknown,Unknown,Tertiary,General Hospital,6.515686035,3.359680175,GRID3_EHEALTH,2024-11-11,3.35968017500005,6.51568603500004
35479,b92ae55f-ab21-4cb7-af62-060b46ea3eea,,,Nigeria,NGA,Lagos,Lagos Island,0,Araromi Odo,0,Mount Sinai Specialist Hospital,GRID3_EHEALTH,Unknown,Unknown,Tertiary,General Hospital,6.444702148,3.404296875,GRID3_EHEALTH,2024-11-11,3.40429687500006,6.44470214800003
35480,b6df5e07-5c24-4e0c-9b71-16d2aa54f2e2,,,Nigeria,NGA,Lagos,Oshodi/Isolo,0,Apena,0,Khan Specialist Hospital,GRID3_EHEALTH,Unknown,Unknown,Tertiary,General Hospital,6.514526367,3.30670166,GRID3_EHEALTH,2024-11-11,3.30670166000004,6.51452636700003
35481,d171f3ba-49dc-4dd5-a063-7ed609b08eaa,,,Nigeria,NGA,Lagos,Surulere,0,Irone,0,Pat Thomas Specialist Hospital,GRID3_EHEALTH,Unknown,Unknown,Tertiary,Unknown,6.495483398,3.338928223,GRID3_EHEALTH,2024-11-11,3.33892822300004,6.49548339800003
35485,1482b229-fd7e-4464-9381-f15502bc7fed,,,Nigeria,NGA,Lagos,Ikeja,0,Orile Ikeja,0,Baaji Specialist Hospital,GRID3_EHEALTH,Unknown,Unknown,Tertiary,General Hospital,6.597106934,3.344116211,GRID3_EHEALTH,2024-11-11,3.34411621100003,6.59710693400007
